Store Name,Location,Lat,Long,Timing,Contact Number
Lifestyle Stores,"Pacific Mall, Opp Scholars Home School, Jakhan, Rajpur Road, Dehradun, India
",30.36634195,78.0704631,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Ambience Mall, Vasant Kunj Phase 2, Nelson Mandela Marg, Delhi, India
",28.5412453,77.15510823,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Vegas Mall, Pocket 1,, Sector 14 Dwarka,, Delhi, India
",28.60108445,77.02960065,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Pacific D21 Mall, Sector 21 Metro station,, Dwarka, New Delhi, Delhi, India
",28.64638685,77.31999242,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Pacific Mall, Khayala Crossing, Subashnagar, Delhi, India
",28.64638685,77.31999242,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"City Centre Mall, 1B3, Sector-10, District Center, Delhi, India
",28.62928285,77.0804828,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Pebble Downtown Mall, NH -2, Sector - 12 , Near Bata Chowk Metro Station, Faridabad, Faridabad, India
",28.4031478,77.3105561,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Mahagun Gzbd, Plot Vc-3, Sector-3, Vaishali, Ghaziabad, India
",28.6496701,77.339575,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Gaur City Mall, Gaur Chowk, Sector 4C, Greater Noida West, Greater Noida, India
",28.4670734,77.5137649,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"The Grand Venice Mall,, Plot no SH-03, Site IV, LGF & GF, Surajpur, Greater Noida, India
",28.51065285,77.47860552,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Dno 5-87 - 3, Lakshmipuram Main Road Beside NTR Stadium, Guntur, India
",16.2915189,80.4541588,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Metropolis Mall, Upper Ground Floor, MGF Metropolis Mall M.G. Road, Gurgaon, India
",28.42826235,77.00270015,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Airia Mall, Sector 68, Sohna road, Gurgaon - 122101, Gurgaon, India
",28.42826235,77.00270015,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Aurus Mall, Supermarket Traffic Point, Dispur, G.S. Road, Guwahati, India
",26.1800648,91.7510799,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Forum Rangoli, 212, Girish Ghosh Road, Belur Math, Howrah, India
",22.6323298,88.3564507,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"International Pvt Ltd, Puli KR Square, Sy.86,, Petbasherbad, Near Medchal RTA Office. Kompally, Suchitra, Hyderabad, India
",17.50088035,78.47678216,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Sarath City Capital, Survey Nos. 39 (Part),40, 41, 42, 48, 49 & 51,, Kothaguda Village, Serilingampally Mandal, Kondapur, Hyderabad, India
",17.4578165,78.3639655,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"My Home, 6-3-1192, Begumpet Main Road, Kundan Bagh, Begumpet, Hyderabad, India
",17.4440199,78.4624821,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Manjeera Mall, Plot No.S2, Survey No. 1050, KPHB Colony, phase 3, Hyderabad, India
",17.48995915,78.39311589,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Ground and First Floor AMR Planet, Survey No 373 - 1&373 -3 Moula-Ali Malkajgiri ECIL extension A s Rao Nagar, Hyderabad, India
",17.463336,78.56033384,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Inorbit Mall, 64, Software layout, Inorbit Mall, Mind Space Cyberabad, Hyderabad, India
",17.4342905,78.3842073,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"International Pvt. Ltd., L&T Irrum Manzil Mall, T.S No.s 3/1, in Ward No.85. Block No. E., Hyderabad, India
",17.360589,78.4740613,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"L&T Musharambagh Mall, T.S. No.s 2.5& 6.In Ward, No.170, Block-B, Musharambagh, Gaddiannaram Village, Saidabad Mandal, Hyderabad, India
",17.36395375,78.50806407,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"C21 Mall, 94-104,300-304, Pu 4 Sch No 54, AB Road, Indore, India
",22.74386765,75.89425678,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Phoenix Citadel, MR 10 Rd, Junction, Indore, Madhya Pradesh, Indore, India
",22.7558997,75.84402469,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"MGF Mall, Pl No 1 To 4, Bhawani Singh Marg, Jaipur, India
",26.9028519,75.7937653,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Wave Mall, Channi Rama, Opposite Bhatindi Road, Transport Nagar, Jammu, India
",32.7096429,74.89287306,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"RSR Square, No 72-1 D No-1-700 Dwaraka Nagar, R.S. Road, Nagarjunapeta, Kadapa city, Sandhya Circle, Kadapa, India
",14.4752936,78.8216861,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Z Square Mall, 16/1 & 1A, MG Road, Kanpur, India
",26.47337225,80.35268189,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Grand Mall, Edapally North Village, Kanayannur Taluka, Edapally, Kochi, India
",10.02451955,76.30914705,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Axis Mall, Block A, Plot No CF9, Action Area 1c, New Town, Kolkata, India
",22.5788545,88.4716628,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Quest Mall, 33, Syed Amir Ali Avenue, Park Circus, Kolkata, India
",22.5390275,88.36565582,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"The Great Mall of Kota, G-12,13,14 Ground floor, F-12,13,14 & 15 on First Floor,DCM Road, Kota, India
",25.1737019,75.8574194,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Kottayam, 65platinum2,opposite Collectorate Building, KK Road Kottayam, Kottayam, India
",9.591564,76.5221599,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"One Awadh Center, 384, Vibhuti Khand, Gomti Nagar, Ujariyaon Pargana, Lucknow, India
",26.8381,80.9346001,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Phoenix Palassio, Amar Shaheed Path, Sector-7, Gomti Nagar, Lucknow, India
",26.8528761,80.9988505,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"MBD Neopolis Road, Ferozpur Road, Near West End Mall, Ludhiana, India
",30.8833418,75.7817064,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"City Center, K.S Rao Road, Opp. Hotel Navarantna Palace, Mangalore, India
",12.8796103,74.8531752,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Forum Fiza Mall UG & FF- T.S No. 210 - R.S. 335, Attavar Village, Cantonment Ward, Pandeshwar Road, Mangalore, India
",12.85798015,74.83829754,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"VR Punjab, NH-21, Mohali Kharar Road, Dist - SAS Nagar, Mohali, India
",30.6904366,76.7116208,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Phoenix Mkt City, First floor, LBS Marg, Kurla West, Mumbai, India
",19.08601795,72.8894782,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Oberoi Mall, Opp. Western Express Highway, Goregaon, Mumbai, India
",19.17343875,72.86011977,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"Phoenix Palladium, Senapati Bapat Marg, Lower Parel, Mumbai, India
",18.99568,72.8302756,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
Lifestyle Stores,"R- City Centre, Opp- Paradise Plaza, Nr Shreyas Theatre, Ghatkopar, Mumbai, India
",19.01076995,72.85026848,"Monday to Sunday, 10:00AM to 10:00PM",1800-123-1555
